200122093422|adminmarga|http://localhost/etc_cms/login|login|{"username":"adminmarga"}|{"code":"1","message":"Login success. "}|::1

200122094630|adminmarga|fare_management/fare/saveChange|Change Fare For Route|DATA BARU|{"route_code":"RTC100004","golongan1":"1204","golongan2":"1204","golongan3":"1204","golongan4":"1204","golongan5":"1204","golongan6":"1204","file_name":"okelah coba","fare_status":2,"fare_start_time":"2020-01-23 00:00","created_by":"adminmarga","fare_operator":"10"}|DATA LAMA|{"file_name":"a","golongan1":"2000","golongan2":"3000","golongan3":"4000","golongan4":"5000","golongan5":"6000","golongan6":"7000","fare_start_time":"2020-01-22 00:00:00","route_code":"RTC100004","route_name":"1 KE 2","route_length":null,"island":"4","province":"18","city":"35"}|{"code":1,"message":"Data Fare Successfull Saved"}|::1

200122100454|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|{"file_name":"sk menteri","route_code":null,"golongan1":"1000","golongan2":"1300","golongan3":"1400","golongan4":"1500","golongan5":"1600","golongan6":"1700","fare_status":2,"fare_start_time":"2020-01-23 00:00","fare_operator":"10","created_by":"adminmarga"}|Sukses menyimpan Data|::1

200122100454|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|{"file_name":"sk menteri","route_code":null,"golongan1":"1500","golongan2":"1540","golongan3":"1230","golongan4":"1200","golongan5":"1400","golongan6":"1300","fare_status":2,"fare_start_time":"2020-01-23 00:00","fare_operator":"10","created_by":"adminmarga"}|Sukses menyimpan Data|::1

200122101404|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|{"file_name":"sk menteri","route_code":"RTC100004","golongan1":"2000","golongan2":"3000","golongan3":"4000","golongan4":"5000","golongan5":"6000","golongan6":"7000","fare_status":2,"fare_start_time":"2020-01-23 00:00","fare_operator":"10","created_by":"adminmarga"}|Sukses menyimpan Data|::1

200122101404|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|{"file_name":"sk menteri","route_code":"RTC100005","golongan1":"1000","golongan2":"2000","golongan3":"3000","golongan4":"4000","golongan5":"4400","golongan6":"3200","fare_status":2,"fare_start_time":"2020-01-23 00:00","fare_operator":"10","created_by":"adminmarga"}|Sukses menyimpan Data|::1

200122101427|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|null|error nama tidak ditemukan di master rute, pastikan rute yang dimasukan sudah sama dengan yang ada di menu route|::1

200122101427|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|null|error nama tidak ditemukan di master rute, pastikan rute yang dimasukan sudah sama dengan yang ada di menu route|::1

200122101525|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|null||::1

200122101525|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|null||::1

200122101859|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"1","remark":"","approve_by":"adminmarga","approve_on":"2020-01-22 10:18:59"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122101926|adminmarga|fare_management/fare/saveChange|Change Fare For Route|{"route_code":"RTC100004","golongan1":"2500","golongan2":"2400","golongan3":"2400","golongan4":"2400","golongan5":"2400","golongan6":"2400","file_name":"okela ini dicoba","fare_status":2,"fare_start_time":"2020-01-23 00:00","created_by":"adminmarga","fare_operator":"10"}|{"code":1,"message":"Data Fare Successfull Saved"}|::1

200122101946|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"1","remark":"","approve_by":"adminmarga","approve_on":"2020-01-22 10:19:46"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122102250|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|{"file_name":"okelaa ini","route_code":"RTC100004","golongan1":"2000","golongan2":"3000","golongan3":"4000","golongan4":"5000","golongan5":"6000","golongan6":"7000","fare_status":2,"fare_start_time":"2020-01-23 00:00","fare_operator":"10","created_by":"adminmarga"}|Sukses menyimpan Data|::1

200122102250|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|{"file_name":"okelaa ini","route_code":"RTC100005","golongan1":"1000","golongan2":"2000","golongan3":"3000","golongan4":"4000","golongan5":"4400","golongan6":"3200","fare_status":2,"fare_start_time":"2020-01-23 00:00","fare_operator":"10","created_by":"adminmarga"}|Sukses menyimpan Data|::1

200122102300|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"1","remark":"","approve_by":"adminmarga","approve_on":"2020-01-22 10:23:00"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122102338|adminmarga|fare_management/fare/saveChange|Change Fare For Route|{"route_code":"RTC100004","golongan1":"3800","golongan2":"3200","golongan3":"3100","golongan4":"2400","golongan5":"2500","golongan6":"2800","file_name":"okelah ini okee","fare_status":2,"fare_start_time":"2020-01-23 00:00","created_by":"adminmarga","fare_operator":"10"}|{"code":1,"message":"Data Fare Successfull Saved"}|::1

200122102355|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"1","remark":"","approve_by":"adminmarga","approve_on":"2020-01-22 10:23:55"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122103211|adminmarga|fare_management/fare/saveChange|Change Fare For Route|{"route_code":"RTC100004","golongan1":"210","golongan2":"210","golongan3":"210","golongan4":"210","golongan5":"211","golongan6":"2111","file_name":"okelahhhh coba change","fare_status":2,"fare_start_time":"2020-01-23 00:00","created_by":"adminmarga","fare_operator":"10"}|{"code":1,"message":"Data Fare Successfull Saved"}|::1

200122103548|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"1","remark":"","approve_by":"adminmarga","approve_on":"2020-01-22 10:35:48"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122103630|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|{"file_name":"inilah kok","route_code":"RTC100004","golongan1":"2000","golongan2":"3000","golongan3":"4000","golongan4":"5000","golongan5":"6000","golongan6":"7000","fare_status":2,"fare_start_time":"2020-01-23 00:00","fare_operator":"10","created_by":"adminmarga"}|Sukses menyimpan Data|::1

200122103630|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|{"file_name":"inilah kok","route_code":"RTC100005","golongan1":"1000","golongan2":"2000","golongan3":"3000","golongan4":"4000","golongan5":"4400","golongan6":"3200","fare_status":2,"fare_start_time":"2020-01-23 00:00","fare_operator":"10","created_by":"adminmarga"}|Sukses menyimpan Data|::1

200122103643|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"1","remark":"","approve_by":"adminmarga","approve_on":"2020-01-22 10:36:42"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122103718|adminmarga|fare_management/fare/saveChange|Change Fare For Route|{"route_code":"RTC100004","golongan1":"3200","golongan2":"3200","golongan3":"3200","golongan4":"3200","golongan5":"3200","golongan6":"3200","file_name":"okela ini kita coba lai","fare_status":2,"fare_start_time":"2020-01-23 00:00","created_by":"adminmarga","fare_operator":"10"}|{"code":1,"message":"Data Fare Successfull Saved"}|::1

200122103731|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"1","remark":"","approve_by":"adminmarga","approve_on":"2020-01-22 10:37:31"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122103801|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"-5","remark":"ini gk sesuai","approve_by":"adminmarga","approve_on":"2020-01-22 10:38:01"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122104649|adminmarga|fare_management/fare/saveChange|Change Fare For Route|{"route_code":"RTC100004","golongan1":"3240","golongan2":"3210","golongan3":"3220","golongan4":"3300","golongan5":"3400","golongan6":"3500","file_name":"okelahhhhh","fare_status":2,"fare_start_time":"2020-01-23 00:00","created_by":"adminmarga","fare_operator":"10"}|{"code":1,"message":"Data Fare Successfull Saved"}|::1

200122104813|adminmarga|fare_management/fare/deleteFare/5b0c62921f4bbcaac2d35ca459eebb4921edaa2ed37765557fb09874c493e4cac6157ad1dd36671c86d475419888e3b69fcb0dad4943a45bd868ffd1bb4168abr6TfbeqmyEgB86ps1302LI6sc38|Delete Fare type & Fare|{"fare_status":-5,"updated_by":"adminmarga","updated_on":"2020-01-22 10:48:13"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122104843|adminmarga|fare_management/fare/saveChange|Change Fare For Route|{"route_code":"RTC100004","golongan1":"3400","golongan2":"3400","golongan3":"4300","golongan4":"3400","golongan5":"3400","golongan6":"3200","file_name":"oke","fare_status":2,"fare_start_time":"2020-01-23 00:00","created_by":"adminmarga","fare_operator":"10"}|{"code":1,"message":"Data Fare Successfull Saved"}|::1

200122105404|adminmarga|fare_management/fare/saveApprove|set End Time|{"fare_status":"1","remark":"oke","approve_by":"adminmarga","approve_on":"2020-01-22 10:54:04"}|{"code":1,"message":"Data Succesfull Saved"}|::1

200122105544|adminmarga|fare_management/fare/saveImport|ADD Fare For Route|{"file_name":"okela","route_code":"RTC100004","golongan1":"2000","golongan2":"3000","golongan3":"4000","golongan4":"5000","golongan5":"6000","golongan6":"7000","fare_status":2,"fare_start_time":"2020-01-23 00:00","fare_operator":"10","created_by":"adminmarga"}|Sukses menyimpan Data|::1

